# c time(ms)      temp     fcross  labile   ftar    fgas   fsolid   ftot   fmet
  5.000E-01   3.053E+02   .0000    .61000   .0000   .0000  1.0000   .0000   .0177  
  3.500E+00   3.772E+02   .0000    .61000   .0000   .0000  1.0000   .0000   .0177  
  1.250E+01   8.434E+02   .0000    .60000   .0164   .0034   .9802   .0198   .0024  
  1.294E+01   8.642E+02   .0000    .57905   .0196   .0106   .9698   .0302   .0017  
  1.320E+01   8.748E+02   .0000    .55649   .0225   .0172   .9603   .0397   .0019  
  1.346E+01   8.854E+02   .0000    .53209   .0260   .0232   .9508   .0492   .0023  
  1.372E+01   8.960E+02   .0000    .50489   .0303   .0294   .9403   .0597   .0030  
  1.398E+01   9.066E+02   .0000    .47431   .0359   .0361   .9280   .0720   .0040  
  1.424E+01   9.153E+02   .0000    .44117   .0427   .0431   .9142   .0858   .0055  
  1.449E+01   9.221E+02   .0000    .40841   .0504   .0497   .8999   .1001   .0077  
  1.475E+01   9.289E+02   .0000    .37580   .0590   .0561   .8849   .1151   .0108  
  1.501E+01   9.357E+02   .0000    .34343   .0687   .0622   .8692   .1308   .0149  
  1.527E+01   9.425E+02   .0000    .31122   .0794   .0680   .8526   .1474   .0202  
  1.553E+01   9.493E+02   .0000    .27936   .0913   .0735   .8352   .1648   .0272  
  1.579E+01   9.562E+02   .0001    .24827   .1041   .0787   .8172   .1828   .0358  
  1.604E+01   9.630E+02   .0001    .21826   .1177   .0834   .7989   .2011   .0463  
  1.630E+01   9.683E+02   .0002    .19018   .1316   .0875   .7809   .2191   .0585  
  1.656E+01   9.724E+02   .0003    .16546   .1447   .0909   .7644   .2356   .0713  
  1.682E+01   9.766E+02   .0005    .14348   .1571   .0938   .7492   .2508   .0845  
  1.708E+01   9.808E+02   .0007    .12415   .1686   .0962   .7352   .2648   .0974  
  1.734E+01   9.849E+02   .0010    .10689   .1794   .0983   .7223   .2777   .1101  
  1.759E+01   9.891E+02   .0013    .09174   .1893   .1000   .7107   .2893   .1219  
  1.785E+01   9.932E+02   .0018    .07824   .1985   .1015   .7000   .3000   .1330  
  1.811E+01   9.974E+02   .0024    .06647   .2069   .1028   .6903   .3097   .1428  
  1.837E+01   1.002E+03   .0031    .05606   .2146   .1039   .6815   .3185   .1516  
  1.863E+01   1.005E+03   .0039    .04722   .2214   .1050   .6737   .3263   .1587  
  1.889E+01   1.008E+03   .0049    .03964   .2273   .1059   .6667   .3333   .1646  
  1.914E+01   1.011E+03   .0060    .03327   .2326   .1068   .6606   .3394   .1692  
  1.940E+01   1.014E+03   .0073    .02776   .2373   .1076   .6551   .3449   .1727  
  1.966E+01   1.017E+03   .0087    .02326   .2413   .1084   .6503   .3497   .1750  
  1.992E+01   1.020E+03   .0102    .01933   .2449   .1091   .6459   .3541   .1764  
  2.018E+01   1.023E+03   .0120    .01608   .2481   .1099   .6420   .3580   .1769  
  2.044E+01   1.026E+03   .0139    .01335   .2509   .1107   .6385   .3615   .1767  
  2.069E+01   1.029E+03   .0160    .01099   .2534   .1114   .6352   .3648   .1758  
  2.095E+01   1.032E+03   .0194    .00817   .2568   .1128   .6305   .3695   .1732  
  2.147E+01   1.037E+03   .0246    .00556   .2599   .1144   .6257   .3743   .1683  
  2.224E+01   1.044E+03   .0427    .00143   .2665   .1201   .6134   .3866   .1466  
  2.534E+01   1.060E+03   .1263    .00000   .2769   .1403   .5828   .4172   .0527  
  3.448E+01   1.073E+03   .1766    .00000   .2784   .1598   .5619   .4381   .0009  
  4.448E+01   1.073E+03   .1775    .00000   .2784   .1705   .5511   .4489   .0000  
  4.448E+01   1.073E+03   .1775    .00000   .2784   .1705   .5511   .4489   .0000
