# c time(ms)      l         c      del/2    g1/2      g2/2      gtot     p
  5.000E-01   .61000   .00000   .39000   .00000   .00000   .00000   .61000
  3.500E+00   .61000   .00000   .39000   .00000   .00000   .00000   .61000
  1.250E+01   .60000   .00526   .39091   .00383   .00526   .00909   .60526
  1.294E+01   .57905   .01629   .39252   .01214   .01629   .02843   .59534
  1.320E+01   .55649   .02816   .39716   .01819   .02816   .04635   .58465
  1.346E+01   .53209   .04100   .40515   .02176   .04100   .06276   .57310
  1.372E+01   .50489   .05532   .41521   .02458   .05532   .07989   .56021
  1.398E+01   .47431   .07141   .42713   .02715   .07141   .09856   .54573
  1.424E+01   .44117   .08886   .44057   .02940   .08886   .11826   .53003
  1.449E+01   .40841   .10610   .45400   .03148   .10610   .13758   .51451
  1.475E+01   .37580   .12326   .46777   .03316   .12326   .15642   .49906
  1.501E+01   .34343   .14030   .48142   .03485   .14030   .17515   .48373
  1.527E+01   .31122   .15725   .49506   .03646   .15725   .19372   .46847
  1.553E+01   .27936   .17402   .50863   .03799   .17402   .21202   .45338
  1.579E+01   .24827   .19038   .52169   .03965   .19038   .23004   .43865
  1.604E+01   .21826   .20618   .53429   .04127   .20618   .24745   .42444
  1.630E+01   .19018   .22096   .54604   .04283   .22096   .26379   .41114
  1.656E+01   .16546   .23397   .55625   .04432   .23397   .27829   .39943
  1.682E+01   .14348   .24554   .56506   .04592   .24554   .29146   .38902
  1.708E+01   .12415   .25571   .57263   .04751   .25571   .30322   .37986
  1.734E+01   .10689   .26479   .57921   .04910   .26479   .31390   .37169
  1.759E+01   .09174   .27277   .58477   .05072   .27277   .32349   .36451
  1.785E+01   .07824   .27987   .58950   .05239   .27987   .33226   .35811
  1.811E+01   .06647   .28607   .59334   .05412   .28607   .34018   .35254
  1.837E+01   .05606   .29155   .59642   .05597   .29155   .34752   .34761
  1.863E+01   .04722   .29620   .59853   .05805   .29620   .35424   .34342
  1.889E+01   .03964   .30019   .59999   .06018   .30019   .36037   .33983
  1.914E+01   .03327   .30354   .60080   .06239   .30354   .36594   .33681
  1.940E+01   .02776   .30644   .60111   .06469   .30644   .37113   .33420
  1.966E+01   .02326   .30881   .60084   .06709   .30881   .37590   .33207
  1.992E+01   .01933   .31088   .60019   .06960   .31088   .38048   .33021
  2.018E+01   .01608   .31259   .59911   .07222   .31259   .38481   .32867
  2.044E+01   .01335   .31403   .59765   .07498   .31403   .38900   .32738
  2.069E+01   .01099   .31527   .59588   .07786   .31527   .39313   .32626
  2.095E+01   .00817   .31675   .59265   .08242   .31675   .39917   .32492
  2.147E+01   .00556   .31813   .58754   .08877   .31813   .40690   .32369
  2.224E+01   .00143   .32030   .56877   .10950   .32030   .42980   .32173
  2.534E+01   .00000   .32205   .49152   .18643   .32205   .50848   .32205
  3.448E+01   .00000   .32205   .41602   .26193   .32205   .58398   .32205
  4.448E+01   .00000   .32205   .37665   .30130   .32205   .62335   .32205
